Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 No","521987.069","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 No","533431.909","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 No","545314.67","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 No","557501.301","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 No","569999.178","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 No","582837.973","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 No","596107.483","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 No","609721.951","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 No","623524.219","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 No","637451.448","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 No","651685.628","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 No","666267.76","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 No","681248.383","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 No","696828.385","X","Figure from international organizations",""
